Date,1. open,2. high,3. low,4. close,5. volume
2025-05-13,800.45,807.7,797.25,801.9,717454.0
2025-05-12,799.85,803.9,793.1,801.6,829415.0
2025-05-09,755.25,781.4,755.25,779.4,375997.0
2025-05-08,778.0,786.5,765.0,768.75,463248.0
2025-05-07,762.25,782.55,762.25,776.15,581175.0
2025-05-06,792.2,799.0,771.15,774.15,761282.0
2025-05-05,784.95,799.1,783.65,790.0,771587.0
2025-05-02,792.05,802.95,789.25,800.05,335006.0
2025-04-30,812.85,812.85,784.45,788.15,412886.0
2025-04-29,820.0,829.0,808.75,811.75,699284.0
2025-04-28,796.3,822.5,796.3,817.6,1068737.0
2025-04-25,813.6,819.1,787.1,798.75,383883.0
2025-04-24,813.3,819.15,811.0,813.2,506029.0
2025-04-23,825.85,830.0,809.95,813.3,1020589.0
2025-04-22,821.2,835.4,813.8,822.45,663396.0
2025-04-21,803.0,824.25,801.6,816.6,697505.0
2025-04-17,771.1,801.0,767.25,797.1,738676.0
2025-04-16,764.0,774.55,760.4,771.75,477621.0
2025-04-15,768.05,770.6,757.65,763.3,763643.0
2025-04-11,759.95,759.95,746.15,754.05,593599.0
2025-04-09,768.8,769.0,740.75,742.05,467660.0
2025-04-08,757.0,774.1,757.0,768.4,490787.0
2025-04-07,732.3,752.95,730.95,746.75,775236.0
2025-04-04,779.2,782.25,765.0,767.8,392420.0
2025-04-03,770.0,784.85,770.0,779.2,284146.0
2025-04-02,772.0,776.8,764.3,775.85,134131.0
2025-04-01,767.95,782.5,763.05,771.5,458492.0
2025-03-28,770.7,778.45,768.0,771.6,514260.0
2025-03-27,762.7,775.0,760.75,772.4,243074.0
2025-03-26,770.3,775.95,761.8,763.35,346155.0
2025-03-25,784.4,786.0,769.65,773.05,841085.0
2025-03-24,758.5,783.15,755.05,781.4,459986.0
2025-03-21,749.15,755.4,747.2,753.0,285630.0
2025-03-20,749.95,752.8,744.2,749.2,150865.0
2025-03-19,739.9,749.0,739.25,745.05,408821.0
2025-03-18,727.0,738.5,723.0,737.05,178857.0
2025-03-17,729.0,730.95,722.1,722.7,197841.0
2025-03-13,726.9,731.45,724.35,727.75,229142.0
2025-03-12,729.95,736.5,719.2,722.9,198814.0
2025-03-11,724.9,733.9,722.5,729.95,285624.0
2025-03-10,732.95,738.45,727.05,728.35,339175.0
2025-03-07,732.95,734.9,727.95,732.75,288192.0
2025-03-06,737.95,737.95,727.1,731.95,321519.0
2025-03-05,718.85,731.0,717.8,730.25,628448.0
2025-03-04,693.4,718.15,692.15,716.15,587355.0
2025-03-03,692.25,696.85,679.65,695.15,398676.0
2025-02-28,701.8,701.8,682.85,688.25,953162.0
2025-02-27,716.9,716.9,701.0,703.95,624622.0
2025-02-25,719.0,719.0,709.95,711.0,875612.0
2025-02-24,712.65,719.8,710.9,716.4,525944.0
2025-02-21,729.2,732.0,720.0,721.55,460425.0
2025-02-20,727.8,731.8,723.05,729.65,279931.0
2025-02-19,722.8,734.75,722.1,726.8,174597.0
2025-02-18,727.95,727.95,717.45,725.75,396321.0
2025-02-17,721.85,728.95,711.4,728.05,751026.0
2025-02-14,729.45,732.7,716.15,722.0,895669.0
2025-02-13,735.0,737.3,726.05,727.3,605466.0
2025-02-12,732.95,738.3,717.25,733.25,550605.0
2025-02-11,738.15,740.0,726.9,731.0,826170.0
2025-02-10,740.55,744.05,733.6,736.85,788061.0
2025-02-07,761.8,761.8,732.05,737.05,1805880.0
2025-02-06,769.65,770.95,750.0,752.35,1384322.0
2025-02-05,780.8,781.6,764.65,766.1,654303.0
2025-02-04,766.3,780.85,766.0,779.2,749753.0
2025-02-03,763.65,763.65,753.45,761.0,427934.0
2025-01-31,765.0,777.75,759.35,773.1,241965.0
2025-01-30,759.4,764.85,754.7,762.2,618809.0
2025-01-29,752.5,760.25,749.8,758.7,379821.0
2025-01-28,756.2,759.6,745.65,751.65,794022.0
2025-01-27,740.0,755.3,736.0,749.2,775011.0
2025-01-24,747.2,753.75,738.85,744.35,458033.0
2025-01-23,751.95,755.8,743.3,745.95,235130.0
2025-01-22,762.85,762.85,738.3,753.25,237866.0
2025-01-21,784.95,785.3,756.25,759.0,953600.0
2025-01-20,765.05,784.95,765.05,779.05,559123.0
2025-01-17,766.9,767.85,759.45,764.1,497950.0
2025-01-16,761.65,776.55,760.05,766.4,511761.0
2025-01-15,753.7,758.85,750.35,754.0,171791.0
2025-01-14,730.6,756.9,730.6,748.1,687121.0
2025-01-13,742.95,743.85,722.5,729.6,300275.0
2025-01-10,760.35,760.8,742.0,743.15,454472.0
2025-01-09,771.95,771.95,726.9,760.35,803943.0
2025-01-08,781.0,782.5,760.1,771.2,1224097.0
2025-01-07,778.05,783.75,775.1,779.0,563547.0
2025-01-06,798.0,798.0,773.3,776.75,624836.0
2025-01-03,801.9,809.7,792.25,793.5,387698.0
2025-01-02,795.0,802.4,786.3,801.05,711599.0
2025-01-01,796.85,798.5,789.6,793.35,356031.0
2024-12-31,788.75,798.95,787.0,795.05,283620.0
2024-12-30,802.7,808.0,785.2,788.3,686161.0
2024-12-27,817.25,818.75,797.25,799.55,1061163.0
2024-12-26,813.0,822.95,808.0,811.65,194920.0
2024-12-24,825.0,825.55,809.2,811.85,431577.0
2024-12-23,818.35,823.9,812.4,820.95,281649.0
2024-12-20,833.8,836.4,810.0,812.5,467910.0
2024-12-19,822.05,837.9,820.1,832.8,309033.0
2024-12-18,850.2,850.8,836.7,839.05,172425.0
2024-12-17,859.75,862.95,847.15,850.2,143409.0
2024-12-16,859.0,866.2,857.8,860.7,252691.0
2024-12-13,853.7,863.0,835.0,861.7,455324.0
